file_path,val,act,dom
Session1/dialog/wav/Ses01M_impro01.wav,1,3,3
Session1/dialog/wav/Ses01M_impro01.wav,1,2,3
Session1/dialog/wav/Ses01M_impro01.wav,2,2,3
Session1/dialog/wav/Ses01M_impro01.wav,2,2,2
Session1/dialog/wav/Ses01M_impro01.wav,1,2,3
Session1/dialog/wav/Ses01M_impro01.wav,2,2,2
Session1/dialog/wav/Ses01M_impro01.wav,1,2,3
Session1/dialog/wav/Ses01M_impro01.wav,1,3,3
Session1/dialog/wav/Ses01M_impro01.wav,1,3,3
Session1/dialog/wav/Ses01M_impro01.wav,2,2,3
Session1/dialog/wav/Ses01M_impro01.wav,2,2,3
Session1/dialog/wav/Ses01M_impro01.wav,1,3,4
Session1/dialog/wav/Ses01M_impro01.wav,1,2,3
Session1/dialog/wav/Ses01M_impro01.wav,2,2,3
Session1/dialog/wav/Ses01M_impro01.wav,2,2,2
Session1/dialog/wav/Ses01M_impro01.wav,1,3,3
Session1/dialog/wav/Ses01M_impro01.wav,2,2,2
Session1/dialog/wav/Ses01M_impro01.wav,2,2,3
Session1/dialog/wav/Ses01M_impro01.wav,2,2,3
Session1/dialog/wav/Ses01M_impro01.wav,0,4,4
Session1/dialog/wav/Ses01M_impro01.wav,0,3,4
Session1/dialog/wav/Ses01M_impro01.wav,0,4,4
Session1/dialog/wav/Ses01M_impro01.wav,0,4,4
Session1/dialog/wav/Ses01M_impro01.wav,2,2,2
Session1/dialog/wav/Ses01M_impro01.wav,2,2,2
Session1/dialog/wav/Ses01M_impro01.wav,2,2,3
Session1/dialog/wav/Ses01M_impro01.wav,2,2,2
Session1/dialog/wav/Ses01M_impro01.wav,2,2,2
Session1/dialog/wav/Ses01M_impro01.wav,1,2,3
Session1/dialog/wav/Ses01M_impro01.wav,1,3,3
Session1/dialog/wav/Ses01M_impro01.wav,2,2,3
Session1/dialog/wav/Ses01M_impro01.wav,2,3,2
Session1/dialog/wav/Ses01M_impro01.wav,2,2,2
Session1/dialog/wav/Ses01M_impro01.wav,2,2,3
Session1/dialog/wav/Ses01M_impro01.wav,2,2,2
Session1/dialog/wav/Ses01M_impro01.wav,1,2,1
Session1/dialog/wav/Ses01M_impro01.wav,1,2,2
Session1/dialog/wav/Ses01M_impro01.wav,1,3,3
Session1/dialog/wav/Ses01M_impro01.wav,1,3,3
Session1/dialog/wav/Ses01M_impro01.wav,1,2,2
Session1/dialog/wav/Ses01M_impro01.wav,0,3,3
Session1/dialog/wav/Ses01M_impro01.wav,1,2,2
Session1/dialog/wav/Ses01M_impro01.wav,1,3,3
Session1/dialog/wav/Ses01M_impro01.wav,1,3,3
Session1/dialog/wav/Ses01M_impro01.wav,1,2,3
Session1/dialog/wav/Ses01M_impro01.wav,2,2,2
Session1/dialog/wav/Ses01M_impro01.wav,1,3,3
Session1/dialog/wav/Ses01M_impro01.wav,1,3,2
Session1/dialog/wav/Ses01M_impro01.wav,1,3,3
Session1/dialog/wav/Ses01M_impro01.wav,0,4,4
Session1/dialog/wav/Ses01M_impro01.wav,1,3,3
Session1/dialog/wav/Ses01M_impro01.wav,0,4,3
Session1/dialog/wav/Ses01M_impro01.wav,0,3,3
Session1/dialog/wav/Ses01M_impro01.wav,1,2,2
Session1/dialog/wav/Ses01M_impro01.wav,1,2,2
Session1/dialog/wav/Ses01M_impro01.wav,1,3,3
Session1/dialog/wav/Ses01M_impro01.wav,0,3,4
Session1/dialog/wav/Ses01M_impro01.wav,2,2,3
Session1/dialog/wav/Ses01M_impro01.wav,2,3,3
Session1/dialog/wav/Ses01M_impro01.wav,1,2,2
Session1/dialog/wav/Ses01M_impro01.wav,1,3,3
Session1/dialog/wav/Ses01M_impro01.wav,0,2,3
Session1/dialog/wav/Ses01M_impro01.wav,0,3,3
Session1/dialog/wav/Ses01M_impro01.wav,0,3,3
Session1/dialog/wav/Ses01M_impro01.wav,0,3,3
Session1/dialog/wav/Ses01M_impro02.wav,2,1,1
Session1/dialog/wav/Ses01M_impro02.wav,1,3,2
Session1/dialog/wav/Ses01M_impro02.wav,1,3,3
Session1/dialog/wav/Ses01M_impro02.wav,1,2,2
Session1/dialog/wav/Ses01M_impro02.wav,1,2,2
Session1/dialog/wav/Ses01M_impro02.wav,1,2,3
Session1/dialog/wav/Ses01M_impro02.wav,1,1,2
Session1/dialog/wav/Ses01M_impro02.wav,1,2,3
Session1/dialog/wav/Ses01M_impro02.wav,1,2,1
Session1/dialog/wav/Ses01M_impro02.wav,1,1,1
Session1/dialog/wav/Ses01M_impro02.wav,1,2,2
Session1/dialog/wav/Ses01M_impro02.wav,1,2,2
Session1/dialog/wav/Ses01M_impro02.wav,1,1,2
Session1/dialog/wav/Ses01M_impro02.wav,2,2,2
Session1/dialog/wav/Ses01M_impro02.wav,3,2,2
Session1/dialog/wav/Ses01M_impro02.wav,1,1,1
Session1/dialog/wav/Ses01M_impro02.wav,3,2,2
Session1/dialog/wav/Ses01M_impro02.wav,3,2,2
Session1/dialog/wav/Ses01M_impro02.wav,3,2,2
Session1/dialog/wav/Ses01M_impro02.wav,2,2,2
Session1/dialog/wav/Ses01M_impro02.wav,2,2,2
Session1/dialog/wav/Ses01M_impro02.wav,3,1,2
Session1/dialog/wav/Ses01M_impro02.wav,1,1,1
Session1/dialog/wav/Ses01M_impro02.wav,1,1,2
